Price,Dien Tich,Do Rong Mat Duong,So Tang,Khoang Cach
26 tỷ,105 m2,"3,5m",9,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
15.5 tỷ,52 m2,8m,5,"Đường Giảng Võ, Phường Kim Mã, Quận Ba Đình, Hà Nội"
11.8 tỷ,50 m2,6m,5,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
48 tỷ,190 m2,3m,9,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
10.4 tỷ,48 m2,4m,7,"Phố Sơn Tây, Phường Điện Biên, Quận Ba Đình, Hà Nội"
7.2 tỷ,45 m2,2m,5,"Phố Cửa Bắc, Phường Trúc Bạch, Quận Ba Đình, Hà Nội"
23.9 tỷ,325 m2,9m,1,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
11 tỷ,120 m2,5m,2,"Phố Ngọc Khánh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
2.55 tỷ,25 m2,4m,4,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
4 tỷ,35 m2,"4,5m",5,"Phố Đội cấn, Phường Kim Mã, Quận Ba Đình, Hà Nội"
2.8 tỷ,30 m2,3m,3,"Phố Giang Văn Minh, Phường Kim Mã, Quận Ba Đình, Hà Nội"
4.55 tỷ,45 m2,3m,4,"Phố Đội cấn, Phường Kim Mã, Quận Ba Đình, Hà Nội"
3.5 tỷ,32 m2,"3,5m",4,"Đường Hoàng Hoa Thám, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
3.6 tỷ,33 m2,3m,5,"Phố Đội cấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
4.3 tỷ,45 m2,3m,4,"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
5.5 tỷ,41 m2,3m,4,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
4.55 tỷ,30 m2,5m,5,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
3.55 tỷ,36 m2,4m,4,"Đường Hoàng Hoa Thám, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
5.5 tỷ,36 m2,5m,4,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
3.7 tỷ,48 m2,4m,4,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
4.8 tỷ,45 m2,4m,4,"Phố Đội cấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
4.8 tỷ,45 m2,4m,4,"Phố Đội cấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
3.55 tỷ,32 m2,4m,4,"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
4.55 tỷ,30 m2,5m,5,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
5.5 tỷ,43 m2,3m,4,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
3.5 tỷ,32 m2,3m,4,"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
